Course Instance,Student id,Status,Grade,Course code
I-4941,19850603-0006,completed,3.0,1206
I-2233,19850603-0006,completed,4.0,1097
I-2756,19850603-0006,completed,4.0,1284
I-2759,19850603-0006,completed,3.0,1262
I-2761,19850603-0006,completed,3.0,1035
I-5166,19860222-0007,completed,5.0,1269
I-2447,19860222-0007,completed,3.0,1111
I-3786,19860222-0007,completed,4.0,1130
I-1606,19860222-0007,completed,4.0,1015
I-5378,19860222-0007,completed,5.0,1062
I-3897,19860222-0007,completed,5.0,1025
I-3899,19860222-0007,completed,4.0,1069
I-4226,19860222-0007,completed,3.0,1020
I-4015,19860222-0007,completed,3.0,1297
I-4016,19860222-0007,completed,3.0,1266
I-4018,19860222-0007,completed,3.0,1086
I-4324,19860222-0007,completed,3.0,1050
I-4017,19860222-0007,completed,3.0,1190
I-4024,19860222-0007,completed,4.0,1009
I-1100,19860222-0007,completed,5.0,1046
I-4020,19860222-0007,completed,3.0,1276
I-5179,19860222-0007,completed,5.0,1166
I-5,19861018-0009,completed,5.0,1264
I-3993,19861018-0009,completed,3.0,1247
I-5360,19861018-0009,completed,4.0,1061
I-5359,19861018-0009,completed,5.0,1172
I-535,19860829-0010,completed,5.0,1291
I-5255,19860829-0010,completed,4.0,1277
I-960,19860829-0010,completed,5.0,1110
I-5257,19860829-0010,completed,4.0,1090
I-3891,19860829-0010,completed,5.0,1075
I-5368,19860829-0010,completed,4.0,1216
I-5369,19860829-0010,completed,3.0,1169
I-1182,19860829-0010,completed,3.0,1030
I-1058,19850527-0011,completed,5.0,1205
I-1059,19850527-0011,completed,3.0,1072
I-1490,19850527-0011,completed,5.0,1270
I-2638,19850527-0011,completed,4.0,1107
I-4732,19850527-0011,completed,3.0,1137
I-1069,19850527-0011,completed,3.0,1023
I-323,19850527-0011,completed,5.0,1199
I-1389,19850527-0011,completed,5.0,1057
I-1067,19850527-0011,completed,5.0,1073
I-4835,19850527-0011,completed,5.0,1138
I-1181,19850527-0011,completed,3.0,1230
I-865,19850527-0011,completed,5.0,1030
I-1183,19850527-0011,completed,4.0,1291
I-1185,19850527-0011,completed,3.0,1034
I-230,19850527-0011,completed,3.0,1220
I-759,19850527-0011,completed,3.0,1105
I-545,19850527-0011,completed,3.0,1152
I-1188,19850527-0011,completed,3.0,1149
I-2756,19891217-0012,completed,4.0,1284
I-1495,19891217-0012,completed,3.0,1122
I-3077,19891217-0012,completed,3.0,1154
I-4633,19891217-0012,completed,4.0,1197
I-5277,19891217-0012,completed,4.0,1162
I-3175,19891217-0012,completed,5.0,1039
I-4964,19891217-0012,completed,3.0,1065
I-3179,19891217-0012,completed,4.0,1005
I-3288,19891217-0012,completed,3.0,1062
I-5396,19891217-0012,completed,5.0,1238
I-2253,19891217-0012,completed,5.0,1057
I-3291,19891217-0012,completed,4.0,1150
I-423,19861017-0014,completed,5.0,1236
I-424,19861017-0014,completed,3.0,1233
I-427,19861017-0014,completed,4.0,1083
I-5488,19861017-0014,completed,4.0,1001
I-2654,19861017-0014,completed,3.0,1164
I-541,19861017-0014,completed,3.0,1112
I-540,19861017-0014,completed,5.0,1234
I-542,19861017-0014,completed,5.0,1045
I-5150,19870714-0017,completed,5.0,1205
I-4730,19870714-0017,completed,5.0,1072
I-2638,19870714-0017,completed,4.0,1107
I-1065,19870714-0017,completed,5.0,1138
I-1394,19870714-0017,completed,5.0,1230
I-1284,19870714-0017,completed,3.0,1030
I-5059,19870714-0017,completed,5.0,1220
I-759,19870714-0017,completed,3.0,1105
I-4405,19850426-0018,completed,3.0,1134
I-4839,19850426-0018,completed,3.0,1114
I-4409,19850426-0018,completed,4.0,1116
I-4407,19850426-0018,completed,3.0,1279
I-2339,19850426-0018,completed,5.0,1190
I-4410,19850426-0018,completed,4.0,1269
I-3881,19850426-0018,completed,3.0,1154
I-2335,19850426-0018,completed,5.0,1041
I-4522,19850426-0018,completed,4.0,1290
I-5056,19850426-0018,completed,5.0,1096
I-3372,19850426-0018,completed,5.0,1189
I-4215,19850426-0018,completed,5.0,1168
I-4511,19870816-0019,completed,5.0,1218
I-4515,19870816-0019,completed,3.0,1070
I-4512,19870816-0019,completed,4.0,1287
I-3060,19870816-0019,completed,4.0,1119
I-5263,19880404-0020,completed,3.0,1024
I-2131,19880404-0020,completed,4.0,1006
I-5267,19880404-0020,completed,3.0,1016
I-5268,19880404-0020,completed,3.0,1277
I-876,19880404-0020,completed,3.0,1266
I-3896,19880404-0020,completed,3.0,1062
I-5381,19880404-0020,completed,4.0,1167
I-5387,19880404-0020,completed,3.0,1075
I-543,19891130-0023,completed,5.0,1272
I-4629,19891130-0023,completed,5.0,1088
I-4630,19891130-0023,completed,4.0,1227
I-4631,19891130-0023,completed,5.0,1146
I-5069,19891130-0023,completed,3.0,1153
I-4748,19891130-0023,completed,5.0,1152
I-4753,19891130-0023,completed,4.0,1025
I-4747,19891130-0023,completed,5.0,1270
I-27,19891130-0023,completed,3.0,1290
I-4751,19891130-0023,completed,5.0,1114
I-4125,19891130-0023,completed,5.0,1233
I-4863,19891130-0023,completed,5.0,1082
I-3905,19891130-0023,completed,3.0,1242
I-5077,19891130-0023,completed,3.0,1252
I-5150,19860208-0024,completed,3.0,1205
I-5151,19860208-0024,completed,3.0,1193
I-5154,19860208-0024,completed,4.0,1174
I-2642,19860208-0024,completed,3.0,1219
I-3999,19851213-0025,completed,4.0,1109
I-4633,19851213-0025,completed,5.0,1197
I-2969,19851213-0025,completed,3.0,1168
I-1809,19851213-0025,completed,5.0,1173
I-4425,19851213-0025,completed,4.0,1112
I-4859,19851213-0025,completed,4.0,1135
I-3690,19851213-0025,completed,3.0,1238
I-5386,19851213-0025,completed,3.0,1078
I-4541,19851213-0025,completed,3.0,1118
I-4543,19851213-0025,completed,4.0,1054
I-246,19851213-0025,completed,3.0,1128
I-5079,19851213-0025,completed,4.0,1061
I-428,19870512-0028,completed,5.0,1296
I-317,19870512-0028,completed,4.0,1162
I-3063,19870512-0028,completed,3.0,1180
I-3370,19870512-0028,completed,4.0,1100
I-3477,19870512-0028,completed,3.0,1013
I-3479,19870512-0028,completed,5.0,1105
I-3790,19870512-0028,completed,3.0,1204
I-3483,19870512-0028,completed,5.0,1095
I-4955,19870215-0031,completed,4.0,1237
I-3280,19870215-0031,completed,3.0,1225
I-5066,19870215-0031,completed,3.0,1272
I-4960,19870215-0031,completed,3.0,1157
I-4963,19870215-0031,completed,4.0,1093
I-3177,19870215-0031,completed,4.0,1065
I-4958,19870215-0031,completed,5.0,1248
I-441,19870215-0031,completed,3.0,1269
I-2450,19870215-0031,completed,4.0,1228
I-345,19870215-0031,completed,5.0,1265
I-4868,19870215-0031,completed,3.0,1087
I-5074,19870215-0031,completed,5.0,1018
I-5075,19870215-0031,completed,4.0,1004
I-4137,19870215-0031,completed,5.0,1180
I-5189,19870215-0031,completed,5.0,1142
I-52,19870215-0031,completed,5.0,1033
I-3400,19870215-0031,completed,4.0,1283
I-4210,19881204-0033,completed,4.0,1294
I-2649,19881204-0033,completed,5.0,1005
I-2646,19881204-0033,completed,3.0,1202
I-2445,19881204-0033,completed,3.0,1228
I-5388,19881204-0033,completed,4.0,1073
I-2765,19881204-0033,completed,5.0,1127
I-3183,19881204-0033,completed,5.0,1105
I-2356,19881204-0033,completed,3.0,1050
I-2764,19881204-0033,completed,3.0,1169
I-2772,19881204-0033,completed,4.0,1042
I-3795,19881204-0033,completed,4.0,1164
I-1610,19881204-0033,completed,5.0,1015
I-2769,19881204-0033,completed,3.0,1172
I-1405,19881204-0033,completed,3.0,1118
I-3079,19890416-0034,completed,5.0,1145
I-1402,19890416-0034,completed,3.0,1061
I-3081,19890416-0034,completed,4.0,1147
I-879,19890416-0034,completed,4.0,1128
I-2366,19890416-0034,completed,5.0,1187
I-4236,19890416-0034,completed,3.0,1051
I-5186,19890416-0034,completed,3.0,1182
I-2566,19890416-0034,completed,5.0,1169
I-3295,19890416-0034,completed,4.0,1276
I-3711,19890416-0034,completed,4.0,1262
I-3297,19890416-0034,completed,5.0,1026
I-691,19890416-0034,completed,3.0,1019
I-3364,19891011-0035,completed,5.0,1296
I-317,19891011-0035,completed,3.0,1162
I-3365,19891011-0035,completed,3.0,1175
I-3369,19891011-0035,completed,3.0,1106
I-3169,19891011-0035,completed,4.0,1013
I-3790,19891011-0035,completed,4.0,1204
I-1287,19891011-0035,completed,5.0,1181
I-1597,19891011-0035,completed,5.0,1095
I-2756,19890927-0036,completed,3.0,1284
I-2550,19890927-0036,completed,5.0,1213
I-2026,19890927-0036,completed,4.0,1052
I-3072,19890927-0036,completed,4.0,1122
I-5277,19890927-0036,completed,5.0,1162
I-2245,19890927-0036,completed,5.0,1039
I-4964,19890927-0036,completed,3.0,1065
I-3179,19890927-0036,completed,5.0,1005
I-3176,19890927-0036,completed,3.0,1163
I-1712,19890927-0036,completed,5.0,1035
I-1294,19890927-0036,completed,5.0,1095
I-4639,19890927-0036,completed,5.0,1136
I-3180,19890927-0036,completed,5.0,1137
I-3184,19890927-0036,completed,3.0,1104
I-3288,19890927-0036,completed,5.0,1062
I-249,19890927-0036,completed,4.0,1120
I-2989,19890927-0036,completed,3.0,1080
I-3291,19890927-0036,completed,3.0,1150
I-1904,19870422-0037,completed,4.0,1211
I-2013,19870422-0037,completed,4.0,1156
I-1909,19870422-0037,completed,4.0,1117
I-1906,19870422-0037,completed,5.0,1251
I-756,19870422-0037,completed,3.0,1170
I-2646,19870422-0037,completed,4.0,1202
I-4422,19870422-0037,completed,5.0,1193
I-11,19870422-0037,completed,4.0,1124
I-2026,19870422-0037,completed,3.0,1052
I-2878,19870422-0037,completed,4.0,1247
I-5279,19870422-0037,completed,5.0,1254
I-2139,19870422-0037,completed,4.0,1074
I-3698,19870422-0037,completed,3.0,1013
I-237,19881020-0039,completed,4.0,1146
I-666,19881020-0039,completed,3.0,1098
I-667,19881020-0039,completed,3.0,1097
I-2032,19881020-0039,completed,3.0,1246
I-5072,19881020-0039,completed,5.0,1265
I-247,19881020-0039,completed,5.0,1222
I-4761,19881020-0039,completed,5.0,1038
I-783,19881020-0039,completed,5.0,1173
I-890,19881020-0039,completed,3.0,1233
I-4136,19881020-0039,completed,4.0,1175
I-2786,19881020-0039,completed,4.0,1229
I-893,19881020-0039,completed,3.0,1082
I-1291,19881216-0040,completed,3.0,1110
I-4113,19881216-0040,completed,4.0,1024
I-2770,19881216-0040,completed,5.0,1164
I-4749,19881216-0040,completed,3.0,1095
I-2776,19881216-0040,completed,3.0,1143
I-4324,19881216-0040,completed,5.0,1050
I-3907,19881216-0040,completed,4.0,1290
I-5187,19881216-0040,completed,4.0,1036
I-1415,19881216-0040,completed,4.0,1055
I-1417,19881216-0040,completed,4.0,1237
I-3291,19881216-0040,completed,5.0,1150
I-1421,19881216-0040,completed,3.0,1112
I-1420,19881216-0040,completed,4.0,1147
I-1200,19881216-0040,completed,4.0,1160
I-2873,19870720-0041,completed,3.0,1124
I-2876,19870720-0041,completed,3.0,1066
I-2874,19870720-0041,completed,4.0,1117
I-557,19870720-0041,completed,4.0,1051
I-5065,19870720-0041,completed,3.0,1105
I-2878,19870720-0041,completed,5.0,1247
I-2882,19870720-0041,completed,5.0,1041
I-978,19870720-0041,completed,5.0,1047
I-2879,19870720-0041,completed,5.0,1222
I-2986,19870720-0041,completed,5.0,1248
I-3495,19870720-0041,completed,4.0,1208
I-2988,19870720-0041,completed,4.0,1159
I-3293,19870720-0041,completed,4.0,1080
I-5043,19880818-0043,completed,4.0,1217
I-3160,19880818-0043,completed,3.0,1147
I-5045,19880818-0043,completed,5.0,1065
I-5051,19880818-0043,completed,5.0,1089
I-2441,19880818-0043,completed,4.0,1236
I-2969,19880818-0043,completed,5.0,1168
I-5165,19880818-0043,completed,4.0,1067
I-3784,19880818-0043,completed,4.0,1269
I-325,19880204-0045,completed,4.0,1121
I-2341,19880204-0045,completed,5.0,1171
I-867,19880204-0045,completed,3.0,1160
I-5489,19880204-0045,completed,5.0,1001
I-25,19880204-0045,completed,5.0,1269
I-442,19880204-0045,completed,4.0,1138
I-443,19880204-0045,completed,5.0,1251
I-444,19880204-0045,completed,3.0,1242
I-885,19880204-0045,completed,3.0,1243
I-3393,19880204-0045,completed,5.0,1211
I-2674,19880204-0045,completed,3.0,1172
I-678,19880204-0045,completed,4.0,1134
I-2746,19880807-0046,completed,5.0,1078
I-3570,19880807-0046,completed,5.0,1049
I-1905,19880807-0046,completed,3.0,1156
I-2749,19880807-0046,completed,5.0,1131
I-3677,19890219-0047,completed,5.0,1049
I-5152,19890219-0047,completed,5.0,1219
I-2434,19890219-0047,completed,3.0,1116
I-1274,19890219-0047,completed,5.0,1282
I-2547,19890219-0047,completed,4.0,1299
I-2548,19890219-0047,completed,5.0,1279
I-4103,19890219-0047,completed,5.0,1242
I-3071,19890219-0047,completed,4.0,1213
I-4099,19870412-0048,completed,5.0,1149
I-5044,19870412-0048,completed,5.0,1147
I-643,19870412-0048,completed,3.0,1179
I-4098,19870412-0048,completed,3.0,1187
I-3370,19870412-0048,completed,5.0,1100
I-644,19870412-0048,completed,4.0,1173
I-647,19870412-0048,completed,5.0,1231
I-755,19870412-0048,completed,4.0,1181
I-2333,19870412-0048,completed,4.0,1202
I-646,19870412-0048,completed,5.0,1253
I-758,19870412-0048,completed,4.0,1248
I-762,19870412-0048,completed,5.0,1008
I-2135,19870412-0048,completed,3.0,1037
I-127,19870412-0048,completed,5.0,1208
I-134,19870412-0048,completed,4.0,1201
I-3080,19870412-0048,completed,4.0,1061
I-879,19870412-0048,completed,5.0,1128
I-874,19870412-0048,completed,5.0,1194
I-873,19870412-0048,completed,3.0,1223
I-5273,19870412-0048,completed,3.0,1149
I-3689,19870412-0048,completed,4.0,1266
I-669,19870412-0048,completed,4.0,1206
I-3277,19870412-0048,completed,3.0,1144
I-872,19870412-0048,completed,5.0,1265
I-11,19860119-0049,completed,4.0,1124
I-12,19860119-0049,completed,5.0,1019
I-331,19860119-0049,completed,5.0,1108
I-15,19860119-0049,completed,5.0,1063
I-130,19860119-0049,completed,4.0,1221
I-5388,19860119-0049,completed,3.0,1073
I-1511,19860119-0049,completed,4.0,1230
I-768,19860119-0049,completed,3.0,1208
I-4542,19860119-0049,completed,4.0,1128
I-248,19860119-0049,completed,3.0,1122
I-560,19860119-0049,completed,3.0,1273
I-3187,19860119-0049,completed,4.0,1182
I-2034,19880522-0050,completed,5.0,1146
I-4122,19880522-0050,completed,5.0,1098
I-2249,19880522-0050,completed,5.0,1246
I-3590,19880522-0050,completed,4.0,1097
I-345,19880522-0050,completed,3.0,1265
I-247,19880522-0050,completed,3.0,1222
I-1422,19880522-0050,completed,5.0,1006
I-4761,19880522-0050,completed,5.0,1038
I-2055,19880522-0050,completed,5.0,1233
I-891,19880522-0050,completed,3.0,1175
I-3917,19880522-0050,completed,3.0,1229
I-51,19880522-0050,completed,4.0,1082
I-959,19851109-0051,completed,3.0,1049
I-2337,19851109-0051,completed,3.0,1211
I-2434,19851109-0051,completed,5.0,1116
I-1067,19851109-0051,completed,4.0,1073
I-2547,19851109-0051,completed,3.0,1299
I-2548,19851109-0051,completed,3.0,1279
I-4103,19851109-0051,completed,5.0,1242
I-2550,19851109-0051,completed,4.0,1213
I-1700,19890611-0052,completed,3.0,1226
I-1701,19890611-0052,completed,5.0,1219
I-1704,19890611-0052,completed,5.0,1007
I-3269,19890611-0052,completed,3.0,1295
I-2026,19890611-0052,completed,5.0,1052
I-1396,19890611-0052,completed,3.0,1049
I-3076,19890611-0052,completed,5.0,1167
I-2868,19890611-0052,completed,4.0,1256
I-1811,19890611-0052,completed,3.0,1216
I-4860,19890611-0052,completed,3.0,1092
I-1814,19890611-0052,completed,4.0,1196
I-1813,19890611-0052,completed,4.0,1264
I-1815,19890611-0052,completed,3.0,1028
I-2449,19890611-0052,completed,3.0,1087
I-5380,19890611-0052,completed,5.0,1171
I-2979,19890611-0052,completed,5.0,1086
I-4936,19870427-0056,completed,4.0,1240
I-2861,19870427-0056,completed,4.0,1036
I-219,19870427-0056,completed,3.0,1235
I-5261,19870427-0056,completed,3.0,1098
I-4525,19870427-0056,completed,3.0,1297
I-2021,19870427-0056,completed,5.0,1096
I-662,19870427-0056,completed,5.0,1054
I-4311,19870427-0056,completed,3.0,1289
I-4854,19870427-0056,completed,4.0,1294
I-5172,19870427-0056,completed,4.0,1136
I-5382,19870427-0056,completed,4.0,1119
I-5177,19870427-0056,completed,3.0,1179
I-4946,19861117-0057,completed,5.0,1221
I-4947,19861117-0057,completed,5.0,1245
I-3073,19861117-0057,completed,4.0,1052
I-4949,19861117-0057,completed,4.0,1137
I-4953,19861117-0057,completed,4.0,1112
I-4951,19861117-0057,completed,4.0,1178
I-4423,19861117-0057,completed,4.0,1165
I-4948,19861117-0057,completed,3.0,1192
I-1080,19861117-0057,completed,3.0,1017
I-5063,19861117-0057,completed,3.0,1232
I-5065,19861117-0057,completed,4.0,1105
I-5381,19861117-0057,completed,5.0,1167
I-5179,19861117-0057,completed,4.0,1166
I-5180,19861117-0057,completed,5.0,1040
I-2147,19861117-0057,completed,4.0,1004
I-984,19861117-0057,completed,3.0,1109
I-565,19861117-0057,completed,3.0,1269
I-1305,19861117-0057,completed,3.0,1254
I-5184,19861117-0057,completed,3.0,1255
I-3187,19861117-0057,completed,4.0,1182
I-534,19891109-0058,completed,4.0,1046
I-2637,19891109-0058,completed,3.0,1232
I-2641,19891109-0058,completed,5.0,1234
I-1382,19891109-0058,completed,4.0,1236
I-2233,19891109-0058,completed,5.0,1097
I-22,19891109-0058,completed,3.0,1048
I-2757,19891109-0058,completed,3.0,1225
I-2761,19891109-0058,completed,5.0,1035
I-5385,19890705-0059,completed,3.0,1184
I-3584,19890705-0059,completed,5.0,1174
I-136,19890705-0059,completed,4.0,1144
I-3586,19890705-0059,completed,5.0,1071
I-3699,19890705-0059,completed,3.0,1257
I-2990,19890705-0059,completed,4.0,1179
I-2364,19890705-0059,completed,3.0,1263
I-3702,19890705-0059,completed,3.0,1135
I-2232,19860128-0061,completed,4.0,1058
I-2348,19860128-0061,completed,3.0,1064
I-2235,19860128-0061,completed,4.0,1038
I-5169,19860128-0061,completed,4.0,1009
I-2350,19860128-0061,completed,3.0,1255
I-2351,19860128-0061,completed,4.0,1155
I-2353,19860128-0061,completed,5.0,1064
I-1512,19860128-0061,completed,3.0,1174
I-4310,19850704-0062,completed,3.0,1127
I-3072,19850704-0062,completed,3.0,1122
I-1498,19850704-0062,completed,4.0,1155
I-1499,19850704-0062,completed,4.0,1040
I-5274,19850704-0062,completed,4.0,1295
I-1610,19850704-0062,completed,5.0,1015
I-1608,19850704-0062,completed,5.0,1243
I-871,19850704-0062,completed,3.0,1061
I-225,19860412-0063,completed,3.0,1037
I-4731,19860412-0063,completed,3.0,1204
I-640,19860412-0063,completed,3.0,1149
I-1383,19860412-0063,completed,5.0,1288
I-3467,19870918-0064,completed,3.0,1240
I-2956,19870918-0064,completed,3.0,1176
I-2119,19870918-0064,completed,4.0,1026
I-2959,19870918-0064,completed,4.0,1228
I-4638,19880307-0065,completed,3.0,1140
I-1088,19880307-0065,completed,4.0,1136
I-4643,19880307-0065,completed,5.0,1072
I-2138,19880307-0065,completed,4.0,1252
I-4640,19880307-0065,completed,3.0,1262
I-4649,19880307-0065,completed,4.0,1032
I-4645,19880307-0065,completed,4.0,1192
I-3184,19880307-0065,completed,4.0,1104
I-4644,19880307-0065,completed,3.0,1268
I-2244,19880307-0065,completed,3.0,1133
I-3907,19880307-0065,completed,5.0,1290
I-4755,19880307-0065,completed,4.0,1123
I-4757,19880307-0065,completed,5.0,1030
I-4756,19880307-0065,completed,5.0,1049
I-1951,19880307-0065,completed,3.0,1026
I-3195,19880307-0065,completed,3.0,1209
I-155,19880307-0065,completed,5.0,1201
I-3303,19880307-0065,completed,5.0,1014
I-4644,19861216-0066,completed,5.0,1268
I-5278,19861216-0066,completed,5.0,1259
I-3178,19861216-0066,completed,3.0,1035
I-1711,19861216-0066,completed,5.0,1053
I-1725,19861216-0066,completed,3.0,1058
I-989,19861216-0066,completed,4.0,1098
I-4541,19861216-0066,completed,4.0,1118
I-1821,19861216-0066,completed,3.0,1220
I-1298,19850124-0067,completed,4.0,1081
I-3382,19850124-0067,completed,4.0,1032
I-3384,19850124-0067,completed,5.0,1196
I-4531,19850124-0067,completed,3.0,1226
I-2362,19850124-0067,completed,3.0,1136
I-5392,19850124-0067,completed,4.0,1164
I-3070,19880118-0068,completed,3.0,1284
I-3071,19880118-0068,completed,3.0,1213
I-3997,19880118-0068,completed,3.0,1122
I-1703,19880118-0068,completed,4.0,1052
I-3174,19880118-0068,completed,5.0,1162
I-3175,19880118-0068,completed,3.0,1039
I-3179,19880118-0068,completed,3.0,1005
I-3185,19880118-0068,completed,3.0,1095
I-3288,19880118-0068,completed,4.0,1062
I-3290,19880118-0068,completed,5.0,1120
I-5396,19880118-0068,completed,4.0,1238
I-4650,19880118-0068,completed,5.0,1107
I-1273,19870727-0069,completed,4.0,1200
I-2543,19870727-0069,completed,5.0,1282
I-1278,19870727-0069,completed,5.0,1076
I-3069,19870727-0069,completed,3.0,1077
I-3788,19870727-0069,completed,5.0,1287
I-1392,19870727-0069,completed,4.0,1125
I-1397,19870727-0069,completed,3.0,1196
I-1399,19870727-0069,completed,4.0,1092
I-1395,19870727-0069,completed,4.0,1086
I-1394,19870727-0069,completed,4.0,1230
I-2762,19870727-0069,completed,4.0,1027
I-1398,19870727-0069,completed,3.0,1136
I-1922,19851126-0070,completed,4.0,1195
I-1923,19851126-0070,completed,4.0,1010
I-1924,19851126-0070,completed,5.0,1297
I-1925,19851126-0070,completed,4.0,1156
I-676,19851126-0070,completed,4.0,1240
I-2038,19851126-0070,completed,3.0,1198
I-1304,19851126-0070,completed,3.0,1282
I-2041,19851126-0070,completed,4.0,1079
I-1215,19851126-0070,completed,4.0,1236
I-2157,19851126-0070,completed,3.0,1109
I-4239,19851126-0070,completed,5.0,1075
I-4240,19851126-0070,completed,3.0,1037
I-11,19850522-0072,completed,5.0,1124
I-12,19850522-0072,completed,3.0,1019
I-16,19850522-0072,completed,4.0,1050
I-15,19850522-0072,completed,3.0,1063
I-660,19850522-0072,completed,3.0,1108
I-3273,19850522-0072,completed,3.0,1068
I-19,19850522-0072,completed,5.0,1159
I-2240,19850522-0072,completed,3.0,1107
I-1705,19850522-0072,completed,5.0,1256
I-22,19850522-0072,completed,5.0,1048
I-130,19850522-0072,completed,4.0,1221
I-2763,19850522-0072,completed,3.0,1073
I-1511,19850522-0072,completed,3.0,1230
I-133,19850522-0072,completed,5.0,1208
I-246,19850522-0072,completed,4.0,1128
I-249,19850522-0072,completed,5.0,1120
I-560,19850522-0072,completed,4.0,1273
I-5186,19850522-0072,completed,3.0,1182
I-3467,19861115-0074,completed,3.0,1240
I-4937,19861115-0074,completed,4.0,1036
I-4938,19861115-0074,completed,4.0,1235
I-119,19861115-0074,completed,5.0,1098
I-4525,19861115-0074,completed,5.0,1297
I-5054,19861115-0074,completed,5.0,1148
I-2869,19861115-0074,completed,3.0,1126
I-4744,19861115-0074,completed,3.0,1096
I-2768,19861115-0074,completed,5.0,1294
I-1088,19861115-0074,completed,3.0,1136
I-3488,19861115-0074,completed,4.0,1160
I-5173,19861115-0074,completed,5.0,1119
I-1494,19890622-0076,completed,3.0,1127
I-3997,19890622-0076,completed,5.0,1122
I-329,19890622-0076,completed,4.0,1263
I-1500,19890622-0076,completed,5.0,1282
I-1607,19890622-0076,completed,4.0,1295
I-3697,19890622-0076,completed,3.0,1015
I-1608,19890622-0076,completed,3.0,1243
I-1613,19890622-0076,completed,4.0,1113
I-4101,19850206-0077,completed,4.0,1262
I-4632,19850206-0077,completed,5.0,1242
I-2969,19850206-0077,completed,3.0,1168
I-4111,19850206-0077,completed,3.0,1004
I-4217,19850206-0077,completed,4.0,1019
I-5177,19850206-0077,completed,5.0,1179
I-4006,19850206-0077,completed,5.0,1085
I-4963,19850206-0077,completed,4.0,1093
I-4405,19860516-0078,completed,4.0,1134
I-3776,19860516-0078,completed,3.0,1114
I-2339,19860516-0078,completed,5.0,1190
I-4409,19860516-0078,completed,5.0,1116
I-4522,19860516-0078,completed,3.0,1290
I-4523,19860516-0078,completed,3.0,1189
I-3271,19860516-0078,completed,5.0,1096
I-1285,19860516-0078,completed,3.0,1297
I-2640,19891104-0079,completed,5.0,1236
I-1795,19891104-0079,completed,3.0,1288
I-1385,19891104-0079,completed,4.0,1087
I-3778,19891104-0079,completed,5.0,1249
I-1587,19870128-0080,completed,5.0,1054
I-1588,19870128-0080,completed,3.0,1032
I-1591,19870128-0080,completed,5.0,1157
I-1176,19870128-0080,completed,5.0,1294
I-754,19870128-0080,completed,5.0,1299
I-1595,19870128-0080,completed,5.0,1175
I-1596,19870128-0080,completed,4.0,1145
I-5156,19870128-0080,completed,3.0,1229
I-1592,19870128-0080,completed,4.0,1285
I-1797,19870507-0082,completed,3.0,1149
I-641,19870507-0082,completed,4.0,1147
I-4098,19870507-0082,completed,4.0,1187
I-647,19870507-0082,completed,5.0,1231
I-758,19870507-0082,completed,4.0,1248
I-764,19870507-0082,completed,3.0,1217
I-760,19870507-0082,completed,5.0,1065
I-126,19870507-0082,completed,3.0,1218
I-5276,19870507-0082,completed,5.0,1201
I-4322,19870507-0082,completed,5.0,1061
I-879,19870507-0082,completed,4.0,1128
I-980,19870507-0082,completed,5.0,1223
I-1914,19870308-0083,completed,4.0,1026
